player_id,name,position,country,club,age,overall,pace,shooting,passing,defending,physical
1,Son Heung-min,LW,Korea,Tottenham,33,90,88,89,82,45,75
2,Kim Min-jae,CB,Korea,Bayern Munich,29,88,78,40,70,90,86
3,Lee Kang-in,CAM,Korea,PSG,25,84,76,78,86,50,68
4,Hwang Hee-chan,ST,Korea,Wolves,30,82,84,81,73,48,77
5,Cho Gue-sung,ST,Korea,Midtjylland,28,78,70,79,65,55,82
6,Seol Young-woo,RB,Korea,Red Star,27,77,80,55,70,76,74
7,Lee Jae-sung,CM,Korea,Mainz,33,80,72,74,81,68,75
8,Jung Woo-young,CDM,Korea,Khaleej,36,76,55,60,74,78,80
9,Kim Seung-gyu,GK,Korea,Al-Shabab,35,79,40,20,55,35,70
10,Hong Hyun-seok,CM,Korea,Mainz,27,77,73,70,78,62,70
11,Lee Han-beom,CB,Korea,Midtjylland,24,74,68,35,62,76,78
12,Kim Jin-su,LB,Korea,Jeonbuk Hyundai,34,76,70,58,72,75,73
13,Jeong Woo-yeong,RW,Korea,Stuttgart,26,77,82,74,72,45,68
14,Park Yong-woo,CDM,Korea,Al Ain,32,75,63,58,70,76,77
15,Cho Hyun-woo,GK,Korea,Ulsan HD,34,78,42,18,52,38,72
